componentType	rareItems
s	s
armor	chapter_8_space_mobile_02_01
engine	item_nova_orion_space_resource_01_01
shield_generator	item_token_duty_space_01_01
weapon	space_collection_booster_mark_03_incom
booster	space_collection_booster_mark_03_kessel
droid_interface	space_collection_booster_mark_03_koensayr
	space_collection_booster_mark_03_kse
	space_collection_booster_mark_03_mandal
	space_collection_booster_mark_03_moncal
	space_collection_booster_mark_03_novaldex
	space_collection_booster_mark_03_qualdex
	space_collection_booster_mark_04_incom
	space_collection_booster_mark_04_kessel
	space_collection_booster_mark_04_koensayr
	space_collection_booster_mark_04_kse
	space_collection_booster_mark_04_mandal
	space_collection_booster_mark_04_moncal
	space_collection_booster_mark_04_novaldex
	space_collection_booster_mark_04_qualdex
	space_collection_capacitor_mark_03_corellian
	space_collection_capacitor_mark_03_incom
	space_collection_capacitor_mark_03_koensayr
	space_collection_capacitor_mark_03_kse
	space_collection_capacitor_mark_03_mandal
	space_collection_capacitor_mark_03_moncal
	space_collection_capacitor_mark_03_novaldex
	space_collection_capacitor_mark_03_qualdex
	space_collection_capacitor_mark_04_corellian
	space_collection_capacitor_mark_04_incom
	space_collection_capacitor_mark_04_koensayr
	space_collection_capacitor_mark_04_kse
	space_collection_capacitor_mark_04_mandal
	space_collection_capacitor_mark_04_moncal
	space_collection_capacitor_mark_04_novaldex
	space_collection_capacitor_mark_04_qualdex
	space_collection_engine_mark_03_cygnus
	space_collection_engine_mark_03_incom
	space_collection_engine_mark_03_koensayr
	space_collection_engine_mark_03_kse
	space_collection_engine_mark_03_mandal
	space_collection_engine_mark_03_moncal
	space_collection_engine_mark_03_novaldex
	space_collection_engine_mark_03_qualdex
	space_collection_engine_mark_04_cygnus
	space_collection_engine_mark_04_incom
	space_collection_engine_mark_04_koensayr
	space_collection_engine_mark_04_kse
	space_collection_engine_mark_04_mandal
	space_collection_engine_mark_04_moncal
	space_collection_engine_mark_04_novaldex
	space_collection_engine_mark_04_qualdex
	space_collection_reactor_mark_03_cygnus
	space_collection_reactor_mark_03_freitek
	space_collection_reactor_mark_03_incom
	space_collection_reactor_mark_03_koensayr
	space_collection_reactor_mark_03_kse
	space_collection_reactor_mark_03_mandal
	space_collection_reactor_mark_03_seinar
	space_collection_reactor_mark_03_subpro
	space_collection_reactor_mark_04_cygnus
	space_collection_reactor_mark_04_freitek
	space_collection_reactor_mark_04_incom
	space_collection_reactor_mark_04_koensayr
	space_collection_reactor_mark_04_kse
	space_collection_reactor_mark_04_mandal
	space_collection_reactor_mark_04_seinar
	space_collection_reactor_mark_04_subpro
	item_heroic_destroyer_space_beacon
	item_painting_01
	item_emperors_eyes_01
	item_fighters_study_01
	item_hutt_greed_01
	item_imperial_oppression_01
	item_poster_ship_schematic_01
	item_tatooine_dude_speeder_01
	item_ascd_token_01
	item_holocron_06_09
	item_lifeday_gift_self_02_12
