componentType	rareItems
s	s
armor	item_housepack_painting_imperial_01_01
engine	item_housepack_painting_rebel_01_01
shield_generator	item_token_duty_space_01_01
weapon	space_collection_booster_mark_01_incom
booster	space_collection_booster_mark_01_kessel
droid_interface	space_collection_booster_mark_01_koensayr
	space_collection_booster_mark_01_kse
	space_collection_booster_mark_01_mandal
	space_collection_booster_mark_01_moncal
	space_collection_booster_mark_01_novaldex
	space_collection_booster_mark_01_qualdex
	space_collection_booster_mark_02_incom
	space_collection_booster_mark_02_kessel
	space_collection_booster_mark_02_koensayr
	space_collection_booster_mark_02_kse
	space_collection_booster_mark_02_mandal
	space_collection_booster_mark_02_moncal
	space_collection_booster_mark_02_novaldex
	space_collection_booster_mark_02_qualdex
	space_collection_capacitor_mark_01_corellian
	space_collection_capacitor_mark_01_incom
	space_collection_capacitor_mark_01_koensayr
	space_collection_capacitor_mark_01_kse
	space_collection_capacitor_mark_01_mandal
	space_collection_capacitor_mark_01_moncal
	space_collection_capacitor_mark_01_novaldex
	space_collection_capacitor_mark_01_qualdex
	space_collection_capacitor_mark_02_corellian
	space_collection_capacitor_mark_02_incom
	space_collection_capacitor_mark_02_koensayr
	space_collection_capacitor_mark_02_kse
	space_collection_capacitor_mark_02_mandal
	space_collection_capacitor_mark_02_moncal
	space_collection_capacitor_mark_02_novaldex
	space_collection_capacitor_mark_02_qualdex
	space_collection_engine_mark_01_cygnus
	space_collection_engine_mark_01_incom
	space_collection_engine_mark_01_koensayr
	space_collection_engine_mark_01_kse
	space_collection_engine_mark_01_mandal
	space_collection_engine_mark_01_moncal
	space_collection_engine_mark_01_novaldex
	space_collection_engine_mark_01_qualdex
	space_collection_engine_mark_02_cygnus
	space_collection_engine_mark_02_incom
	space_collection_engine_mark_02_koensayr
	space_collection_engine_mark_02_kse
	space_collection_engine_mark_02_mandal
	space_collection_engine_mark_02_moncal
	space_collection_engine_mark_02_novaldex
	space_collection_engine_mark_02_qualdex
	space_collection_reactor_mark_01_cygnus
	space_collection_reactor_mark_01_freitek
	space_collection_reactor_mark_01_incom
	space_collection_reactor_mark_01_koensayr
	space_collection_reactor_mark_01_kse
	space_collection_reactor_mark_01_mandal
	space_collection_reactor_mark_01_seinar
	space_collection_reactor_mark_01_subpro
	space_collection_reactor_mark_02_cygnus
	space_collection_reactor_mark_02_freitek
	space_collection_reactor_mark_02_incom
	space_collection_reactor_mark_02_koensayr
	space_collection_reactor_mark_02_kse
	space_collection_reactor_mark_02_mandal
	space_collection_reactor_mark_02_seinar
	space_collection_reactor_mark_02_subpro
	chapter_8_space_mobile_02_01
	item_heroic_destroyer_space_beacon
	item_nova_orion_space_resource_01_01
	item_painting_01
	item_emperors_eyes_01
	item_fighters_study_01
	item_hutt_greed_01
	item_imperial_oppression_01
	item_poster_ship_schematic_01
	item_tatooine_dude_speeder_01
	item_ascd_token_01
	item_holocron_06_09
	item_lifeday_gift_self_02_12
