object_template_name	lava_resistance
s	f
object/mobile/vehicle/landspeeder_lava_skiff.iff	100
object/mobile/som/lava_flea.iff	100
object/mobile/vehicle/jetpack.iff	100
object/mobile/vehicle/landspeeder_desert_skiff.iff	100
object/mobile/vehicle/tcg_merr_sonn_jt12_jetpack.iff	100
object/mobile/vehicle/mustafar_panning_droid.iff	100
object/mobile/vehicle/basilisk_war_droid.iff	100
object/mobile/vehicle/hoverlifter_speeder_crafted.iff	100
object/mobile/vehicle/tcg_hk47_jetpack.iff	100
object/mobile/vehicle/barc_speeder_rebel.iff	100
object/mobile/vehicle/barc_speeder_imperial.iff	100
object/mobile/vehicle/light_bending_barc.iff	100
object/mobile/vehicle/sith_speeder.iff	100
object/mobile/vehicle/a1_deluxe_floater.iff	100
object/mobile/vehicle/pod_racer_light_bending.iff	100
object/mobile/vehicle/podracer_anakin.iff	100
